text,sentiment,sentiment_encoded,processed_text
"Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU ",Positive,2,best quality couch unbelievably low price available order boksburg gp info whatsapp supertuesdsy powertalk covid sayentrepreneur djsbu
"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

",Negative,0,beware counterfeit trying sell fake mask cheap price let defeat coronavirus threat covid collectively besafe beacascader coronavirusreachesdelhi coronavirusindia
"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

",Negative,0,panic food buying germany due coronavirus begun organic left behind hamsterkauf panic buying called hamster purchaseshamsterkufe german taken way hamster stuff cheek food
"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",Positive,2,covid went grocery store turn cleaning supply bought fear coronavirus daughter substitute teacher showed class make hand sanitizer need buy alcohol wish luck store
"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission ",Positive,2,busy watching election return bracing covid outbreak trump nominated chemicalindustry lobbyist head consumer product safety commission
"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Negative,0,airsewa flyspicejet providing webchecin customer free seat passenger forced choose paid seat free seat made available airport counter stopped its discriminatory traveller right hardeepspuri mocagoi
"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
",Positive,2,precautionary measure taken respective restaurant hotel comment covid coronavirus covid hotel chain enforce precautionary measure issue safety hygiene advisory
"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral,1,youre stockpiling food amp supply buy extra local food bank many family dont luxury spend beyond weekly budget dailybreadto coronavirus
"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq ",Positive,2,thats week bit optimistic probably take another month supply chain may recovering demand chain nonexistent u europe next month two spx qqq e nq
"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? ",Positive,2,study show coronavirus like covid live nine day hard surface like metal plastic glass deputy commissioner consumer affair mary barzee flores show keep clean gas pump watch share
"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews ",Negative,0,coronavirus covid people starting become frightened panicshopping many shelf meanwhile turn empty good sold facemasks amp disinfection liquid sold sold exorbitant price blockchain cryptonews
"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? ",Positive,2,think creditdebit good bitcoin come combating coronavirus keep mind contactless transaction many people grocery store gas station touch keypad every day
Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... ,Positive,2,control stock gold lostgold coming back nicely love wallbridge balmoral warns listener coronavirus sprott money ltd recently put money ocg genm mmg many
"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

",Positive,2,seller cashing panic sell facemasks sanitizers super inflated price reality neither sanitizer facemasks must save coronavirus please watch video
"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

",Negative,0,canada oilpatch bracing impact plunging crude price opec ally failed reach deal aimed cutting production economy slow novel coronavirus fool jkenney based budget hired oil price
"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID ",Positive,2,alright yall hope melanin prevails case took precaution food amp water delivered ive mask month may open soon b fba coronavirususa covid
When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. ,Negative,0,usual grocery shopping woolworth turn toilet paper fight supermarket aisle yikes toiletpaperpanic coronavirus taken whole new level
"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha ",Negative,0,coronavirus panic spread costco pulling free sample covid usa today coronavirus panic spread costco pulling free sample covid usa today pandemonium virus panicbuying hit los angeles yahoo news costco ha
"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative,0,stocking waiting quarantine dont forget donate food water toiletry local food bank help others without mean stock get ahead becomes crisis covid coronavirus
"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
",Positive,2,coronavirus exposure hole social safety net say nelp government affair director judy conti ui unemployment paidleaveforall
"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative,0,two important phone number nyers know doctor insurance think may sick need tested coronavirus call state helpline report price gouging call div consumer protection
"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE ",Positive,2,tip pro wrestler help combat coronavirusbe like zoelucaspro bring hand sanitizer match precaution evewrestling prowrestlingeve
"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus ",Negative,0,effective necessary optic scare tactic american consumer u msm use optic intended effect fear crash u marketgtpanicgtelect biden qanon coronavirus
"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Negative,0,imho russia rug pull oil price designed end dollar global reserve currency corp debt collapse led high yield fracking compounded covid mean fed u govt respond mmt ciao dollar alt collapse got gold silver yet
So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying ,Neutral,1,due brexit gtgt supermarket begin foodrationing wave coronavirusfuelled panic buying
"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Negative,0,remember medium deflection story bog roll panicbuying food shortage covid irish bridge etc etc weve still got brexit austerity poverty crashing economy amp worst uk govt living memory depressing stuff amp aint gon na end well
"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative,0,fellow uni instructor covid ff class cancelations inconvenient remember youre salaried employee maybe callemail hr union amp demand know hourly worker clerical foodservice custodial etc compensated campus closure
"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",Neutral,1,howroute its even food actual heck news people need food water need paper wipe sayin covid covid coronavirus corona virus panic
"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 ",Negative,0,part soap work well sarscov coronavirus indeed virus selfassembled nanoparticle weakest link lipid fatty bilayer two part thread soap virus supramolecular chemistry covid
"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. ",Positive,2,thread please stop shaming folk stock food personal care product ahead coronavirus covid trump made clear doesnt care wont help theyre protecting family way its tiny bit mastery control terrifying time
"For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",Positive,2,thinking senior disabled amp vet shouldnt included realdonaldtrump aid package covid coronavirus check price antibacterial soap disinfectant safer transportation crowded city bus list go senstabenow rashidatlaib
"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",Negative,0,far pennsylvanian reached office report inflated price everything disinfectant spray liquid soap price gouging like isnt wrong its illegal keep email coming pricegougingattorneygeneralgov coronavirus
"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",Neutral,1,global stock market continued bear run dowjones sampp plunged opened monday plunge largely back overnight slump crudeoil price along persistent concern impact coronavirus global economy
Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: ,Positive,2,scammer taking advantage fear surrounding coronavirus tip help keep scammer bay
"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

",Positive,2,business international market exportdevcanada webinar show navigate todays exporting challenge rising commodity price due covid virus
"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",Positive,2,gig economy earn ppl going immediately process refund earned income tax credit child tax credit borrow credit cash help make end meet normal consumer behavior return coronavirus
"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: ",Positive,2,instructed insurance company make covid testing free important step help ensure cost barrier stand way people getting tested read
The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,Negative,0,oil price dipping absolutely nothing covid everything opec talk collapsing saudi feuding russia celebrate calm hell weirdo
"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. ",Negative,0,global stock plummeted today due fear surrounding covid falling oil price saw biggest oneday drop since gulf war let look major stock index reacting news based closing value
"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Negative,0,beginning global recession coronavirus damaging health crisis oil price falling u stock falling drop morning amp trading halt migration crisis eu border housingcrisis amp skyrocketing rent tenant losing income q
"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",Negative,0,newssydney scottmorrisonmp factor bought recession ignoring percapita recession wage growth stagnant consumer debt level roof casualized work change economy driven government co
"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

",Neutral,1,cuomo press conference new york releasing new brand state made sanitizer price gallon coronavirusupdates corona coronavirusoutbreak virus covid covid nyc
"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: ",Negative,0,ignore online offer vaccination currently vaccine pill potion lotion lozenge prescription overthecounter product available treat cure coronavirus disease covid online store ftc tip
"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",Positive,2,lucky enough sitting home enough food get period selfisolation please consider donating trusselltrust help couldnt stock even wanted trusselltrust foodbanks coronavirus covid
"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",Negative,0,thehill american need take upon help avoid contracting covid prep self quarantine wks stop unnecessary travel crowd gathering talk employer proceed wo harm career plan sch
"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",Negative,0,realdonaldtrump separate table u corna virus statistic high stats corona virus u government inability control corona virus high price disinfectant gel usa high price mask usa food price rising day day
"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus ",Negative,0,toiletpaper shortage dont believe everything see tv costco nowcoronavirus
"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus ",Positive,2,come guy please like bob covid panicbuying coronavirus
"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: ",Positive,2,booked ticket event part package holiday offered alternative refund travel provider cancelled due coronavirus check abtas consumer qampa
"Breaking: New Jersey officials urge residents to stock up for a two week #coronavirus quarantine ""Just in case""

#COVID19 
",Neutral,1,breaking new jersey official urge resident stock two week coronavirus quarantine case covid
"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit ",Negative,0,russia lng also suffer irony spot lng price already record low coronavirus declaration force majeure chinese company contracted lng became way make money oil price collapsed big hit
#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! ,Negative,0,breakingnews terrorist watched closely coronavirus spin web know american value wiping as citizen rush buy toilet paper neglect stock food terrorist holding toiletpaper factory hostage film
"""As the novel #coronavirus (or #COVID19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#BLGPublication ",Positive,2,novel coronavirus covid continues spread worldwide impact international business operation supply chain travel commodity price consumer confidence business forecast becoming increasingly acute blgpublication
"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.",Negative,0,lower oil price lower interestrate sort fiscal stimulus great consumer isnt problem problem fear coronavirus fear quarantined day thats people stopped traveling interest rate tax
Consumers have increased their online shopping due to coronavirus. ,Positive,2,consumer increased online shopping due coronavirus
"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",Negative,0,self indulging thought food medicine essential household good stock piling like people universal credit stock piling ffs coronavirus
"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",Positive,2,ok covid nothing panic italy imposing biggest restriction civilian population since ww supermarket able provide food worker told stay home bussiness
"Trump said people must ""be vigilant,"" then concluded, ""Be calm. It's really working out. And: lot of good things are going to happen. The consumer is ready. The consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",Positive,2,trump said people must vigilant concluded calm really working lot good thing going happen consumer ready consumer powerful country weve done tax cut regulation cut thing
"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peoples minds. Here are ten foods for stocking a pantry to support physical and mental health.

",Positive,2,top food item stock case quarantined coronavirus home stay peoples mind ten food stocking pantry support physical mental health
"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou ",Positive,2,hi please support local chinese restaurant amp order delicious food really struggling covid panic many let staff go favs manchester sweetmandarin amp blueeyedpandam thank iwilleatwithyou
Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at ,Negative,0,report instance price gouging covid scam attorney generals consumer protection hotline online
"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT ",Positive,2,russia breaking rank opec signalled intent take nemesis american oil gas industry uselections covid oilwar steeped market least favorite thing uncertainty time wont succeed low oil price wont last long oott
"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

",Positive,2,retail expert talk significant decrease store traffic due coronavirus check article
Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. ,Negative,0,met member distributive trade today examine preparation impact covid based report key manufacturer importer least mths stock therefore expect shortage critical food item
"Say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus ",Neutral,1,say need stock food couple week here tip get properly store perishable item coronavirus
"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who cant stock up on weeks worth of food. Folks who cant NOT work. 

The working poor will suffer most",Negative,0,genuine concern around covid folk may isolate work low wagehourly pay job folk barely getting dont get paid sick day folk cant stock week worth food folk cant work working poor suffer
"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",Negative,0,could many world population infected coronavirus end year prayer useless science come rescue happen world recover year stock food people doomsdaybunker
"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: ",Positive,2,important update ceo brian beaulieu broadened scope covid webinar expect oil price drop stock market development retail sale unfolding situation china italy learn register
".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 ",Positive,2,target taking coronavirus covid seriously store adding hour staff clean rigorously stopping food sample bolstering order pick drive encouraging employee stay home adding stock limiting item purchase wsyx
"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! ",Positive,2,cdc older folk stock food stay home amid coronavirus business insider wow
"If 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in USA.

If you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!",Negative,0,get infected death rate coronavirus die usa dont mo mney stock food find fishing hole supply hunt fish
"Every shop, chemist or retailer of any sort who raises prices during #coronavirus should be boycotted when it's all over. The greed in this country starts with those who've governed us for almost 100 years. FF and FG have made many of us lose our compassion and decency.",Negative,0,every shop chemist retailer sort raise price coronavirus boycotted greed country start whove governed u almost year ff fg made many u lose compassion decency
"No, witch hazel won't help protect you from #coronavirus ...even in a DIY hand sanitizer: ",Positive,2,witch hazel wont help protect coronavirus even diy hand sanitizer
"@thehill DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..just tells us to stay calm
And blames it all on the consumer. 

#COVID19 #Trumpdemic #coronavirus",Negative,0,thehill donaldtrump lie rumor never recognized sense humor sell u balm tell u stay calm blame consumer covid trumpdemic coronavirus
"@realDonaldTrump .-.
THE BALM OF CORONAVIRUS

#DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..tells us just to stay calm
And blames it all on the consumer. #COVID19 #Trumpdemic #coronaviru",Negative,0,realdonaldtrump balm coronavirus donaldtrump lie rumor never recognized sense humor sell u balm tell u stay calm blame consumer covid trumpdemic coronaviru
Q1 #earnings are expected to be heavily impacted by #coronavirus with steep declines in commodity prices and analysts cutting estimates. @TDhillon33 and @DaveAurelio analyse the data: ,Negative,0,q earnings expected heavily impacted coronavirus steep decline commodity price analyst cutting estimate tdhillon daveaurelio analyse data
"These are some of the suggestions to slow/stop #COVID2019
1. Work remotely from home 
2. Online school/ lectures
 3.Keep updated on the HSE/Dept of Health website 
4. Order shopping online for delivery ALL  NEED BROADBAND #remoteworking #broadband #rural",Negative,0,suggestion slowstop covid work remotely home online school lecture keep updated hsedept health website order shopping online delivery need broadband remoteworking broadband rural
Retailers gouging consumer on Clorox spray wipes and sanitizers. What use to be under $5 is now $29 or more Even if its available! Gee bet they make it all in China. ????? #sanitizer #coronavirus,Neutral,1,retailer gouging consumer clorox spray wipe sanitizers use even its available gee bet make china sanitizer coronavirus
"Stay vigilant, stay safe. As we adapt to COVID-19, know that our office is here for you. We can answer questions about scams, sick time, and fraud.

Consumer Hotline: 617-727-8400
Health Care Hotline: 1-888-830-6277
Fair Labor Hotline: 617-727-3465 ",Negative,0,stay vigilant stay safe adapt covid know office answer question scam sick time fraud consumer hotline health care hotline fair labor hotline
"Even without the #coronavirus, suspension or elimination of the #payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working Americans, especially part-time and low wage workers.

Once again, @realDonaldTrump is doing exactly the right thing.",Negative,0,even without coronavirus suspension elimination payrolltax quickest sensible mean enhancing consumer liquidity working american especially parttime low wage worker realdonaldtrump exactly right thing
"This is the advice from national US health experts for over 60's on avoiding #coronavirus

""CDC: Americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads""

UK gov: wash your hands &amp; carry on

#Covid_19 

",Negative,0,advice national u health expert avoiding coronavirus cdc american stock food medication avoid venturing coronavirus spread uk gov wash hand amp carry covid
"The awful impacts of the #Coronavirus are continuing to be felt around the world. 
These events in China are also affecting the UK container industry. But what does this mean for you as a consumer, looking to buy #ShippingContainers?
Find out more: ",Negative,0,awful impact coronavirus continuing felt around world event china also affecting uk container industry mean consumer looking buy shippingcontainers find
Wash your hands more often for 20 seconds with soap and water. Or use hand sanitiser.,Positive,2,wash hand often second soap water use hand sanitiser
"Coronavirus, COVID-19, oil price drop will lead to US recession - Business Insider ",Negative,0,coronavirus covid oil price drop lead u recession business insider
"My German colleagues have confirmed that Hamsterkäufe, as in how a hamster stuffs its cheeks with food, is indeed the German term for panic buying. This is the cute news I need today.
#hamsterkäufe #COVID2019 #covid19ireland #Coronavirusireland #panicbuyingireland #panicbuying ",Negative,0,german colleague confirmed hamsterkufe hamster stuff cheek food indeed german term panic buying cute news need today hamsterkufe covid covidireland coronavirusireland panicbuyingireland panicbuying
"The government must provide hand sanitizer in all public buildings and transport hubs, as a matter of the utmost urgency.

The state must penalize any business trying to profit from this crisis by rising prices for essential items like hand sanitizer. #COVID19ireland #COVID2019 ",Positive,2,government must provide hand sanitizer public building transport hub matter utmost urgency state must penalize business trying profit crisis rising price essential item like hand sanitizer covidireland covid
What You Need If Quarantined at Home | #Coronavirus - Consumer Reports ,Neutral,1,need quarantined home coronavirus consumer report
"See the new @FujifilmX_US X-T4 and X100V at Roberts! Join us on Saturday March 14th at Roberts Downtown location from 10am to 5pm.

Make sure to stop in and register for a FREE mystery giveaway! ",Positive,2,see new fujifilmxus xt xv robert join u saturday march th robert downtown location am pm make sure stop register free mystery giveaway
"Spiking prices during a state of emergency is a crime, REPORT IT: ",Negative,0,spiking price state emergency crime report
"Besides canned food and toilet paper.

",Neutral,1,besides canned food toilet paper
"@NileshShah68 I have summarized the most important points from the paper in this thread:
",Positive,2,nileshshah summarized important point paper thread
@HLAurora63 My husband asked me today if we should stock up on food and supplies ? #CoronaVirus,Neutral,1,hlaurora husband asked today stock food supply coronavirus
